Department	Department Translation	Department Priority	Department Group	Department Status	Professions	Profession Translation	Profession Priority	Profession Group	Profession Status	Task templates	Task template Description	LEN	Task template Status	Actions	Actions Translation	Action Priority	Action Group	Action Status	Objects	Objects Translation	Objects Priority	Objects Group	Objects Status	Tools	Tool Types	Tool Link
Managers	English	Main	Managers	Approved	Lead Generator	English	Main	Lead Generator	Approved	evaluate sources	Assess the performance and quality of different lead sources by analyzing data, potentially summarized by ChatGPT, Gemini, or Claude AI and documented in Notebook LM.	166	Approved	evaluate	English	Main	evaluate	Approved	sources	English	Main	sources	Approved	Notebook LM, ChatGPT, Gemini, Claude AI	AI	https://notebooklm.google.com/, https://chatgpt.com/, https://gemini.google.com/app, https://claude.ai/
Managers	English	Main	Managers	Approved	Lead Generator	English	Main	Lead Generator	Approved	test sources	Experiment with new potential lead sources, tracking the results and methodology carefully within Notebook LM.	110	Approved	test	English	Main	test	Approved	sources	English	Main	sources	Approved	Notebook LM	AI	https://notebooklm.google.com/
Managers	English	Main	Managers	Approved	Lead Generator	English	Main	Lead Generator	Approved	collect data	Gather relevant data points about prospects and markets using research tools like Perplexity AI, Grok, or Gemini, storing findings in Notebook LM.	146	Approved	collect	English	Main	collect	Approved	data	English	Main	data	Approved	Perplexity AI, Grok, Gemini, Notebook LM	AI	https://www.perplexity.ai/, (No public link for Grok), https://gemini.google.com/app, https://notebooklm.google.com/
Managers	English	Main	Managers	Approved	Lead Generator	English	Main	Lead Generator	Approved	analyze data	Interpret prospect information or campaign performance data using analytical support from ChatGPT, Gemini, or Claude AI, organizing insights within Notebook LM.	160	Approved	analyze	English	Main	analyze	Approved	data	English	Main	data	Approved	ChatGPT, Gemini, Claude AI, Notebook LM	AI	https://chatgpt.com/, https://gemini.google.com/app, https://claude.ai/, https://notebooklm.google.com/
Managers	English	Main	Managers	Approved	Lead Generator	English	Main	Lead Generator	Approved	define criteria	Establish clear criteria for lead qualification (e.g., industry, company size, role), documenting them in Notebook LM and potentially refining with LLM (ChatGPT, Gemini, Claude AI) feedback.	190	Approved	define	English	Main	define	Approved	criteria	English	Main	criteria	Approved	Notebook LM, ChatGPT, Gemini, Claude AI	AI	https://notebooklm.google.com/, https://chatgpt.com/, https://gemini.google.com/app, https://claude.ai/
Managers	English	Main	Managers	Approved	Lead Generator	English	Main	Lead Generator	Approved	apply criteria	Systematically check prospects against the defined qualification criteria, using Notebook LM for tracking and potentially AI (ChatGPT, Gemini, Claude AI) to assist evaluation.	175	Approved	apply	English	Main	apply	Approved	criteria	English	Main	criteria	Approved	Notebook LM, ChatGPT, Gemini, Claude AI	AI	https://notebooklm.google.com/, https://chatgpt.com/, https://gemini.google.com/app, https://claude.ai/
Managers	English	Main	Managers	Approved	Lead Generator	English	Main	Lead Generator	Approved	personalize outreach	Tailor outreach messages based on prospect research, using insights stored in Notebook LM and leveraging ChatGPT, Gemini, or Claude AI to draft personalized content.	165	Approved	personalize	English	Main	personalize	Approved	outreach	English	Main	outreach	Approved	ChatGPT, Gemini, Claude AI, Notebook LM	AI	https://chatgpt.com/, https://gemini.google.com/app, https://claude.ai/, https://notebooklm.google.com/
Managers	English	Main	Managers	Approved	Lead Generator	English	Main	Lead Generator	Approved	schedule outreach	Plan the timing and sequence of outreach activities (Note: execution requires external tools), organizing the schedule within Notebook LM.	138	Approved	schedule	English	Main	schedule	Approved	outreach	English	Main	outreach	Approved	Notebook LM	AI	https://notebooklm.google.com/
Managers	English	Main	Managers	Approved	Lead Generator	English	Main	Lead Generator	Approved	track responses	Monitor and record responses received from outreach efforts, potentially logging details manually in Notebook LM if not integrated with other systems.	150	Approved	track	English	Main	track	Approved	responses	English	Main	responses	Approved	Notebook LM	AI	https://notebooklm.google.com/
Managers	English	Main	Managers	Approved	Lead Generator	English	Main	Lead Generator	Approved	handle responses	Manage initial replies to outreach, drafting appropriate follow-up messages with assistance from ChatGPT, Gemini, or Claude AI, and logging interactions in Notebook LM.	168	Approved	handle	English	Main	handle	Approved	responses	English	Main	responses	Approved	ChatGPT, Gemini, Claude AI, Notebook LM	AI	https://chatgpt.com/, https://gemini.google.com/app, https://claude.ai/, https://notebooklm.google.com/
Managers	English	Main	Managers	Approved	Lead Generator	English	Main	Lead Generator	Approved	book appointments	Facilitate scheduling meetings between qualified leads and sales team members, potentially using ChatGPT, Gemini, or Claude AI to draft scheduling communications.	162	Approved	book	English	Main	book	Approved	appointments	English	Main	appointments	Approved	ChatGPT, Gemini, Claude AI	AI	https://chatgpt.com/, https://gemini.google.com/app, https://claude.ai/
Managers	English	Main	Managers	Approved	Lead Generator	English	Main	Lead Generator	Approved	confirm appointments	Send reminders and confirmations for scheduled appointments, drafting messages using ChatGPT, Gemini, or Claude AI if needed.	125	Approved	confirm	English	Main	confirm	Approved	appointments	English	Main	appointments	Approved	ChatGPT, Gemini, Claude AI	AI	https://chatgpt.com/, https://gemini.google.com/app, https://claude.ai/
Managers	English	Main	Managers	Approved	Lead Generator	English	Main	Lead Generator	Approved	update crms	Input and update lead and prospect information in a Customer Relationship Management (CRM) system (Note: requires external CRM), potentially prepping data in Notebook LM.	170	Approved	update	English	Main	update	Approved	crms	English	Main	crms	Approved	Notebook LM	AI	https://notebooklm.google.com/
Managers	English	Main	Managers	Approved	Lead Generator	English	Main	Lead Generator	Approved	manage crms	Maintain data hygiene and organization within the CRM system (Note: requires external CRM), possibly using Notebook LM or LLMs (ChatGPT, Gemini, Claude AI) for analysis tasks based on CRM exports.	196	Approved	manage	English	Main	manage	Approved	crms	English	Main	crms	Approved	ChatGPT, Gemini, Claude AI, Notebook LM	AI	https://chatgpt.com/, https://gemini.google.com/app, https://claude.ai/, https://notebooklm.google.com/
Managers	English	Main	Managers	Approved	Lead Generator	English	Main	Lead Generator	Approved	generate reports	Compile reports on lead generation activities and results, summarizing data organized in Notebook LM or analyzed with ChatGPT, Gemini, or Claude AI.	148	Approved	generate	English	Main	generate	Approved	reports	English	Main	reports	Approved	Notebook LM, ChatGPT, Gemini, Claude AI	AI	https://notebooklm.google.com/, https://chatgpt.com/, https://gemini.google.com/app, https://claude.ai/
Managers	English	Main	Managers	Approved	Lead Generator	English	Main	Lead Generator	Approved	analyze reports	Review generated reports to identify trends, measure performance against KPIs, and extract insights, using ChatGPT, Gemini, or Claude AI for deeper analysis or summary.	168	Approved	analyze	English	Main	analyze	Approved	reports	English	Main	reports	Approved	ChatGPT, Gemini, Claude AI, Notebook LM	AI	https://chatgpt.com/, https://gemini.google.com/app, https://claude.ai/, https://notebooklm.google.com/
Managers	English	Main	Managers	Approved	Lead Generator	English	Main	Lead Generator	Approved	identify targets	Determine specific target accounts or market segments for lead generation efforts using research tools (Perplexity AI, Grok, Gemini) and documenting findings in Notebook LM.	173	Approved	identify	English	Main	identify	Approved	targets	English	Main	targets	Approved	Perplexity AI, Grok, Gemini, ChatGPT, Claude AI, Notebook LM	AI	https://www.perplexity.ai/, (No public link for Grok), https://gemini.google.com/app, https://chatgpt.com/, https://claude.ai/, https://notebooklm.google.com/
Managers	English	Main	Managers	Approved	Lead Generator	English	Main	Lead Generator	Approved	prioritize targets	Rank identified target accounts or segments based on potential value or fit, using scoring logic potentially developed with ChatGPT, Gemini, or Claude AI and managed in Notebook LM.	181	Approved	prioritize	English	Main	prioritize	Approved	targets	English	Main	targets	Approved	Notebook LM, ChatGPT, Gemini, Claude AI	AI	https://notebooklm.google.com/, https://chatgpt.com/, https://gemini.google.com/app, https://claude.ai/
Managers	English	Main	Managers	Approved	Lead Generator	English	Main	Lead Generator	Approved	develop profiles	Create detailed Ideal Customer Profiles (ICPs) based on research and data analysis, using Notebook LM for structure, LLMs (ChatGPT, Gemini, Claude AI) for drafting, and Perplexity/Grok for market research.	205	Approved	develop	English	Main	develop	Approved	profiles	English	Main	profiles	Approved	Notebook LM, ChatGPT, Gemini, Claude AI, Perplexity AI, Grok	AI	https://notebooklm.google.com/, https://chatgpt.com/, https://gemini.google.com/app, https://claude.ai/, https://www.perplexity.ai/, (No public link for Grok)
Managers	English	Main	Managers	Approved	Lead Generator	English	Main	Lead Generator	Approved	refine profiles	Update and improve Ideal Customer Profiles based on campaign performance data and new insights, using Notebook LM, analysis help from LLMs (ChatGPT, Gemini, Claude AI), and further research via Perplexity AI.	208	Approved	refine	English	Main	refine	Approved	profiles	English	Main	profiles	Approved	Notebook LM, ChatGPT, Gemini, Claude AI, Perplexity AI	AI	https://notebooklm.google.com/, https://chatgpt.com/, https://gemini.google.com/app, https://claude.ai/, https://www.perplexity.ai/
