Department	Department Translation	Department Priority	Department Group	Department Status	Professions	Profession Translation	Profession Priority	Profession Group	Profession Status	Task templates	Task template Description	LEN	Task template Status	Actions	Actions Translation	Action Priority	Action Group	Action Status	Objects	Objects Translation	Objects Priority	Objects Group	Objects Status	Tools	Tool Types	Tool Link
developers	English	Main	developers	Approved	prompt engineer	English	Main	prompt engineer	Approved	develop templates	Create reusable prompt structures or templates for common tasks, using ChatGPT, Claude AI, or Gemini for content generation, Notebook LM for organization, and Cursor Pro for complex template logic.	197	Approved	develop	English	Main	develop	Approved	templates	English	Main	templates	Approved	ChatGPT, Claude AI, Gemini, Notebook LM, Cursor Pro	AI, Software	https://chatgpt.com/, https://claude.ai/, https://gemini.google.com/app, https://notebooklm.google.com/, https://www.cursor.com/
developers	English	Main	developers	Approved	prompt engineer	English	Main	prompt engineer	Approved	reuse templates	Apply existing prompt templates to new scenarios or datasets, managing the template library with Notebook LM and potentially integrating them into workflows using Cursor Pro.	174	Approved	reuse	English	Main	reuse	Approved	templates	English	Main	templates	Approved	Notebook LM, Cursor Pro	AI, Software	https://notebooklm.google.com/, https://www.cursor.com/
developers	English	Main	developers	Approved	prompt engineer	English	Main	prompt engineer	Approved	write instructions	Formulate clear, concise, and effective instructions within prompts for AI models like ChatGPT, Claude AI, or Gemini, utilizing Notebook LM to draft and refine instruction sets.	177	Approved	write	English	Main	write	Approved	instructions	English	Main	instructions	Approved	ChatGPT, Claude AI, Gemini, Notebook LM	AI	https://chatgpt.com/, https://claude.ai/, https://gemini.google.com/app, https://notebooklm.google.com/
developers	English	Main	developers	Approved	prompt engineer	English	Main	prompt engineer	Approved	clarify instructions	Refine and rephrase instructions within prompts to resolve ambiguity and improve AI model understanding, often using ChatGPT, Claude AI, or Gemini iteratively.	159	Approved	clarify	English	Main	clarify	Approved	instructions	English	Main	instructions	Approved	ChatGPT, Claude AI, Gemini	AI	https://chatgpt.com/, https://claude.ai/, https://gemini.google.com/app
developers	English	Main	developers	Approved	prompt engineer	English	Main	prompt engineer	Approved	build contexts	Assemble relevant background information, examples, or previous interactions to provide context for AI models (ChatGPT, Claude AI, Gemini), organizing this information effectively using Notebook LM.	198	Approved	build	English	Main	build	Approved	contexts	English	Main	contexts	Approved	Notebook LM, ChatGPT, Claude AI, Gemini	AI	https://notebooklm.google.com/, https://chatgpt.com/, https://claude.ai/, https://gemini.google.com/app
developers	English	Main	developers	Approved	prompt engineer	English	Main	prompt engineer	Approved	manage contexts	Maintain and update contextual information used in prompts, ensuring its relevance and accuracy, potentially using Notebook LM for storage and Cursor Pro for dynamic context injection.	184	Approved	manage	English	Main	manage	Approved	contexts	English	Main	contexts	Approved	Notebook LM, Cursor Pro	AI, Software	https://notebooklm.google.com/, https://www.cursor.com/
developers	English	Main	developers	Approved	prompt engineer	English	Main	prompt engineer	Approved	define evaluations	Establish metrics and criteria for assessing prompt performance and response quality, using ChatGPT, Claude AI, or Gemini for brainstorming metrics and Notebook LM for documenting evaluation protocols.	201	Approved	define	English	Main	define	Approved	evaluations	English	Main	evaluations	Approved	ChatGPT, Claude AI, Gemini, Notebook LM	AI	https://chatgpt.com/, https://claude.ai/, https://gemini.google.com/app, https://notebooklm.google.com/
developers	English	Main	developers	Approved	prompt engineer	English	Main	prompt engineer	Approved	conduct evaluations	Perform evaluations of prompts and AI responses based on defined metrics, using Gemini, Claude AI, or ChatGPT for scoring assistance and Cursor Pro for analyzing results data.	175	Approved	conduct	English	Main	conduct	Approved	evaluations	English	Main	evaluations	Approved	Gemini, Claude AI, ChatGPT, Cursor Pro	AI, Software	https://gemini.google.com/app, https://claude.ai/, https://chatgpt.com/, https://www.cursor.com/
developers	English	Main	developers	Approved	prompt engineer	English	Main	prompt engineer	Approved	review outputs	Manually or semi-automatically review the outputs generated by AI models (Gemini, Claude AI, ChatGPT) for quality control and feedback collection, organizing reviews in Notebook LM.	181	Approved	review	English	Main	review	Approved	outputs	English	Main	outputs	Approved	Gemini, Claude AI, ChatGPT, Notebook LM	AI	https://gemini.google.com/app, https://claude.ai/, https://chatgpt.com/, https://notebooklm.google.com/
developers	English	Main	developers	Approved	prompt engineer	English	Main	prompt engineer	Approved	format outputs	Structure and format the AI-generated outputs according to specific requirements or downstream application needs, potentially using ChatGPT for reformatting help or Cursor Pro for scripting transformations.	206	Approved	format	English	Main	format	Approved	outputs	English	Main	outputs	Approved	ChatGPT, Cursor Pro	AI, Software	https://chatgpt.com/, https://www.cursor.com/
developers	English	Main	developers	Approved	prompt engineer	English	Main	prompt engineer	Approved	define styles	Specify the desired writing style, tone, or voice for AI-generated content within the prompt, iterating with tools like ChatGPT, Claude AI, or Gemini to achieve the target style.	178	Approved	define	English	Main	define	Approved	styles	English	Main	styles	Approved	ChatGPT, Claude AI, Gemini	AI	https://chatgpt.com/, https://claude.ai/, https://gemini.google.com/app
developers	English	Main	developers	Approved	prompt engineer	English	Main	prompt engineer	Approved	apply styles	Ensure the AI model (e.g., ChatGPT, Claude AI, Gemini) adheres to the defined style guidelines throughout the generated text by refining the prompt instructions.	161	Approved	apply	English	Main	apply	Approved	styles	English	Main	styles	Approved	ChatGPT, Claude AI, Gemini	AI	https://chatgpt.com/, https://claude.ai/, https://gemini.google.com/app
developers	English	Main	developers	Approved	prompt engineer	English	Main	prompt engineer	Approved	create personas	Develop specific personas for the AI model to adopt in its responses, crafting persona descriptions and instructions using ChatGPT, Claude AI, Gemini, and storing them in Notebook LM.	183	Approved	create	English	Main	create	Approved	personas	English	Main	personas	Approved	ChatGPT, Claude AI, Gemini, Notebook LM	AI	https://chatgpt.com/, https://claude.ai/, https://gemini.google.com/app, https://notebooklm.google.com/
developers	English	Main	developers	Approved	prompt engineer	English	Main	prompt engineer	Approved	test personas	Evaluate how well AI models (ChatGPT, Claude AI, Gemini) embody the specified personas through test prompts and response analysis.	130	Approved	test	English	Main	test	Approved	personas	English	Main	personas	Approved	ChatGPT, Claude AI, Gemini	AI	https://chatgpt.com/, https://claude.ai/, https://gemini.google.com/app
developers	English	Main	developers	Approved	prompt engineer	English	Main	prompt engineer	Approved	set constraints	Define specific limitations, rules, or boundaries for the AI's response generation (e.g., length, topics to avoid), using ChatGPT, Claude AI, or Gemini to help formulate constraint language.	190	Approved	set	English	Main	set	Approved	constraints	English	Main	constraints	Approved	ChatGPT, Claude AI, Gemini	AI	https://chatgpt.com/, https://claude.ai/, https://gemini.google.com/app
developers	English	Main	developers	Approved	prompt engineer	English	Main	prompt engineer	Approved	validate constraints	Check if the AI model's output respects the imposed constraints, potentially using ChatGPT, Claude AI, or Gemini to assist in verification or identify violations.	162	Approved	validate	English	Main	validate	Approved	constraints	English	Main	constraints	Approved	ChatGPT, Claude AI, Gemini	AI	https://chatgpt.com/, https://claude.ai/, https://gemini.google.com/app
developers	English	Main	developers	Approved	prompt engineer	English	Main	prompt engineer	Approved	design tests	Develop test cases and scenarios to evaluate prompt effectiveness and model behavior, using ChatGPT, Claude AI, or Gemini for idea generation, Notebook LM for documentation, and Cursor Pro for test setup.	204	Approved	design	English	Main	design	Approved	tests	English	Main	tests	Approved	ChatGPT, Claude AI, Gemini, Notebook LM, Cursor Pro	AI, Software	https://chatgpt.com/, https://claude.ai/, https://gemini.google.com/app, https://notebooklm.google.com/, https://www.cursor.com/
developers	English	Main	developers	Approved	prompt engineer	English	Main	prompt engineer	Approved	run tests	Execute predefined test suites against AI models like ChatGPT, Claude AI, or Gemini, automating the process where possible with Cursor Pro and analyzing the results.	165	Approved	run	English	Main	run	Approved	tests	English	Main	tests	Approved	Cursor Pro, ChatGPT, Claude AI, Gemini	Software, AI	https://www.cursor.com/, https://chatgpt.com/, https://claude.ai/, https://gemini.google.com/app
developers	English	Main	developers	Approved	prompt engineer	English	Main	prompt engineer	Approved	implement refinements	Apply changes to prompts, parameters, or templates based on evaluation results, using ChatGPT, Claude AI, or Gemini for generation and Cursor Pro for code integration if needed.	177	Approved	implement	English	Main	implement	Approved	refinements	English	Main	refinements	Approved	ChatGPT, Claude AI, Gemini, Cursor Pro	AI, Software	https://chatgpt.com/, https://claude.ai/, https://gemini.google.com/app, https://www.cursor.com/
developers	English	Main	developers	Approved	prompt engineer	English	Main	prompt engineer	Approved	track refinements	Document and monitor the changes made during prompt refinement cycles, using Notebook LM for documentation and Cursor Pro for version control integration.	154	Approved	track	English	Main	track	Approved	refinements	English	Main	refinements	Approved	Notebook LM, Cursor Pro	AI, Software	https://notebooklm.google.com/, https://www.cursor.com/
